track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2YStno6nFNQCWnF9QLwNiX,Pag Natatalo Ang Ginebra,2Xqthg2v6S4swstru8dliM,Gary Granada,1FobGjQeVB8wrsS6VSQlr0,275026,2008-11-07,23,0.691,0.627,0,-5.881,1,0.0325,0.184,1.11e-06,0.0602,0.61,134.416,2YStno6nFNQCWnF9QLwNiX,2YStno6nFNQCWnF9QLwNiX
2OvMDwVi7rpzoC0Gxq7ET2,Estudyante Blues,7tEBasQc8ILfYXXsNXzI7S,Juana Cosme,7pCsEsQ6rQhPKCbCkFfwLO,212445,2015-07-03,27,0.813,0.83,9,-5.79,1,0.0339,0.0449,2.82e-05,0.0866,0.849,128.424,2OvMDwVi7rpzoC0Gxq7ET2,2OvMDwVi7rpzoC0Gxq7ET2
5ElggyFOoCXycgAfFqZe6D,Itaktak Mo,204rRUtZ6aVfefn4b0DW62,Joey De Leon,0te6dUHoIaEkbC9sP6DbIk,196453,2007-01-19,29,0.948,0.774,2,-5.163,1,0.0885,0.118,0.00328,0.261,0.948,129.751,5ElggyFOoCXycgAfFqZe6D,5ElggyFOoCXycgAfFqZe6D
7jcNi1tziWrzmKZAEwTmYQ,Iisang Bangka Tayo,2C82tCjOMy2n9Pq4Iz9B6S,The Dawn,1uVFMP7r49QhBkvBJohMxa,304266,2008-11-04,0,0.364,0.217,4,-12.002,1,0.0321,0.888,7.74e-06,0.0864,0.233,179.776,7jcNi1tziWrzmKZAEwTmYQ,7jcNi1tziWrzmKZAEwTmYQ
5fxG27OpCyuZucxDMDsH16,Ale-ale,0GMSTrBKMucDuHH46oXvqo,Rainmakers,7GGjRn5mtxaI8MugFsHYCu,215400,2009-02-13,0,0.55,0.49,9,-10.613,1,0.0561,0.851,1.49e-06,0.207,0.825,135.391,5fxG27OpCyuZucxDMDsH16,5fxG27OpCyuZucxDMDsH16
2TQbLEnOIMFtgP796QoCcw,DJ Bumbay,2GUVRWjyy8kJtsMToOZmud,Michael v,35CKZLO61ZyAU5Z0y68GM3,254653,2006-11-01,27,0.686,0.861,7,-7.762,1,0.282,0.102,0.0,0.299,0.672,197.763,2TQbLEnOIMFtgP796QoCcw,2TQbLEnOIMFtgP796QoCcw
0CRfLcjc4xjtEhpHSUhUdX,"Si Aida, Si Lorna, O Si Fe",0U5hMSpWpwMhB4VFnbfGFO,Marco Sison,4NmuAxHxvUPVIlrcXHImy9,194666,1991,26,0.95,0.289,7,-15.171,0,0.0409,0.319,0.0,0.126,0.658,115.282,0CRfLcjc4xjtEhpHSUhUdX,0CRfLcjc4xjtEhpHSUhUdX
6xvL0d8T7T9QXjkgtl1A2W,"My Banyo Queen (ah-ah, umh-umh) featuring: Rica Peralejo",6TcTgRYJBQzadIFeXXWA3I,Andrew E.,0Ckxh7Szw8TLrOV7BQmGb3,350853,2002-01-06,0,0.972,0.749,2,-7.482,1,0.0555,0.00914,0.00124,0.0474,0.973,115.195,6xvL0d8T7T9QXjkgtl1A2W,6xvL0d8T7T9QXjkgtl1A2W
7oAWVjyYupPLseK0AxpUH2,Stupid Love performed by Salbakutah,6TcTgRYJBQzadIFeXXWA3I,Andrew E.,0Ckxh7Szw8TLrOV7BQmGb3,324586,2002-01-06,0,0.762,0.621,10,-7.673,1,0.0742,0.299,2.11e-06,0.0743,0.714,74.094,7oAWVjyYupPLseK0AxpUH2,7oAWVjyYupPLseK0AxpUH2
6mBuI7DJIeVGVZsE6bcAgI,Ewan,73oWKQwUVgTqYaBMElTjnq,Sharon,5QYsXnidNfUFyBWEJdMY8p,178013,2009-05-04,0,0.248,0.561,11,-8.789,0,0.0413,0.119,0.00311,0.36,0.188,100.02,6mBuI7DJIeVGVZsE6bcAgI,6mBuI7DJIeVGVZsE6bcAgI
7pOQAjjSYienTWjfRfiiUX,S2pidluv feat. Nasty Mac of Block Pro,4CfgFoBYDVtk39ITti1hh1,Salbakuta,3ajehqGzxGI1QsrJtW0Mam,324106,2002-01-06,0,0.755,0.614,10,-7.326,1,0.114,0.287,1.98e-06,0.108,0.68,74.059,7pOQAjjSYienTWjfRfiiUX,7pOQAjjSYienTWjfRfiiUX
6iwv5rNakkh17Ga5GfvkYM,Lolo Jose,7v09sVaPjdkXyRb78Q1e17,Coritha,6ESdLLKK9uDzDr2Iz8Hdtc,278506,2009-04-08,0,0.391,0.256,11,-12.181,1,0.0299,0.53,0.0,0.183,0.313,84.762,6iwv5rNakkh17Ga5GfvkYM,6iwv5rNakkh17Ga5GfvkYM
6SJxQd5uviS7KLEtIjQHGD,Bato sa buhangin,65QcnpMJFv1yogXwoOe97v,Cinderella,5maiiPyD9dUefUzhZN3YQx,212986,2008,0,0.519,0.316,2,-10.225,0,0.0258,0.923,0.000747,0.0941,0.246,81.122,6SJxQd5uviS7KLEtIjQHGD,6SJxQd5uviS7KLEtIjQHGD
7MEFO5GM88PntkSwdMKZZO,Paniwalaan,1PI4WlIlSXjbueFblPqWnT,Blue Jeans,5CDcZaGpQbnVXDeRvHwQ97,214506,1989-10-15,0,0.549,0.197,11,-17.897,1,0.0318,0.234,0.0922,0.301,0.409,78.071,7MEFO5GM88PntkSwdMKZZO,7MEFO5GM88PntkSwdMKZZO
3sErCfu2d75f8J1m9hEzPH,Pitong gatang,3cwuv0AjI1Fjg207lf6zan,FRED PANOPIO,3vSymbjahzUZdqZS2YuAmY,182666,2009-03-06,0,0.754,0.372,5,-15.724,1,0.0371,0.63,0.000109,0.0911,0.913,111.42,3sErCfu2d75f8J1m9hEzPH,3sErCfu2d75f8J1m9hEzPH
7qZIIqkDRivFTNOzWlmk4I,The Way We Were,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,76z2WJhWXWCse7YFSGgwxv,243493,2008-07-03,0,0.344,0.188,6,-13.67,1,0.0377,0.955,0.000354,0.0952,0.295,72.653,7qZIIqkDRivFTNOzWlmk4I,7qZIIqkDRivFTNOzWlmk4I
