popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200,predicted_top200,predicted_top200_prob
36,0.677,0.546,8,-10.614,0,0.0439,0.295,0.0,0.17,0.639,121.129,0,0,1.0
41,0.368,0.755,11,-3.631,1,0.0375,0.21,0.0,0.19,0.349,120.981,0,0,0.6
4,0.65,0.312,9,-17.090999999999998,1,0.0353,0.506,0.000554,0.196,0.63,117.292,0,0,0.8
3,0.6579999999999999,0.404,2,-17.127,1,0.0386,0.79,0.0,0.317,0.597,121.6,0,0,1.0
3,0.516,0.0552,7,-23.651,1,0.0364,0.918,0.00143,0.104,0.304,116.469,0,0,0.8
2,0.435,0.214,4,-13.406,1,0.0359,0.67,0.0,0.121,0.275,123.959,0,0,0.8
1,0.5529999999999999,0.542,9,-16.401,1,0.0365,0.00118,0.00127,0.264,0.652,125.585,0,0,0.8
4,0.607,0.21600000000000005,2,-18.604,1,0.0338,0.7709999999999999,0.0,0.111,0.228,115.336,0,0,0.8
1,0.634,0.321,9,-19.113,0,0.033,0.0678,0.0,0.111,0.46,127.788,0,0,0.6
12,0.583,0.7809999999999999,0,-6.166,1,0.029,0.0046,6.720000000000001e-05,0.278,0.6779999999999999,120.088,0,0,0.8
11,0.593,0.618,4,-7.365,1,0.0347,0.00855,2.68e-05,0.0668,0.326,124.983,0,0,1.0
20,0.589,0.552,9,-7.569,1,0.0506,0.00686,2.77e-05,0.0756,0.32,125.086,0,0,0.8
8,0.645,0.731,0,-6.184,1,0.0296,0.0314,2.09e-06,0.365,0.8190000000000001,125.077,0,0,0.8
0,0.589,0.672,6,-15.17,0,0.0448,0.104,0.000641,0.299,0.878,128.186,0,0,0.6
0,0.616,0.436,2,-16.394000000000002,1,0.0712,0.159,0.0,0.41,0.911,117.054,0,0,0.8
0,0.6459999999999999,0.361,10,-6.3870000000000005,1,0.029,0.622,0.0,0.0813,0.102,120.07,0,0,0.8
0,0.835,0.332,1,-17.655,1,0.293,0.113,1.81e-06,0.112,0.502,117.624,0,0,0.8
0,0.44,0.205,4,-15.288,1,0.0324,0.901,0.6,0.114,0.282,124.81,0,0,0.8
0,0.5820000000000001,0.279,6,-10.922,1,0.0294,0.8140000000000001,9.87e-06,0.0956,0.0757,120.976,0,0,1.0
0,0.898,0.9,0,-3.907,1,0.036000000000000004,0.325,0.000769,0.0756,0.969,121.149,0,0,0.6
0,0.516,0.6659999999999999,9,-7.359,0,0.0312,0.5670000000000001,0.0,0.145,0.438,125.629,0,0,0.6
42,0.529,0.304,7,-17.798,1,0.0349,0.7659999999999999,1.82e-05,0.318,0.5589999999999999,119.452,0,0,0.8
0,0.328,0.407,9,-11.584,1,0.0321,0.934,0.0132,0.18600000000000005,0.373,120.609,0,0,0.8
44,0.664,0.472,2,-13.575,1,0.175,0.6809999999999999,0.0,0.0864,0.59,122.142,0,0,0.8
22,0.575,0.997,6,-2.78,0,0.196,0.01,0.00033,0.314,0.217,118.901,0,0,0.6
22,0.599,0.46,7,-7.921,1,0.0304,0.0652,0.0,0.0854,0.6890000000000001,124.399,0,0,1.0
18,0.677,0.47,3,-7.782999999999999,0,0.0321,0.203,2.9100000000000006e-05,0.141,0.319,119.996,0,0,0.6
34,0.728,0.5429999999999999,8,-10.113,1,0.0354,0.401,0.0,0.106,0.722,123.939,0,0,0.8
25,0.601,0.737,3,-7.307,1,0.0308,0.0436,2.3e-06,0.0975,0.394,124.025,0,0,1.0
26,0.552,0.527,9,-7.96,1,0.0283,0.0888,0.000265,0.205,0.413,120.269,0,0,1.0
51,0.718,0.733,2,-6.0779999999999985,1,0.0525,0.462,0.0,0.0854,0.958,120.076,0,0,0.6
39,0.545,0.971,8,-5.225,1,0.065,3.15e-05,0.0,0.338,0.118,119.965,0,0,0.6
31,0.72,0.382,8,-16.504,1,0.0387,0.417,0.0,0.0986,0.7340000000000001,123.949,0,0,0.8
30,0.619,0.281,8,-17.611,1,0.032,0.402,0.00454,0.122,0.498,127.996,0,0,0.6
1,0.642,0.648,5,-8.544,1,0.0397,0.0996,7.26e-05,0.168,0.7120000000000001,122.125,0,0,1.0
16,0.6629999999999999,0.68,8,-6.379,1,0.029,0.18,0.000214,0.106,0.5710000000000001,124.989,0,0,0.8
